image_id,source_video,scene_id,frame_no,timestamp_s,split,width,height,lighting,weather,occlusion_level,blur_score,blur_level,brightness,contrast,motion_score,n_objects,classes,image_path,label_path
scene01_camA_f000000,scene01_camA.mp4,scene01,0,0.0,train,960,540,day,unknown,unknown,365.17,sharp,116.55,24.15,0.0,0,,data/frames/scene01_camA/scene01_camA_f000000.jpg,data/labels/scene01_camA/scene01_camA_f000000.txt
scene01_camA_f000015,scene01_camA.mp4,scene01,15,0.5,train,960,540,day,unknown,unknown,598.53,sharp,116.9,25.7,3.47,1,person,data/frames/scene01_camA/scene01_camA_f000015.jpg,data/labels/scene01_camA/scene01_camA_f000015.txt
scene01_camA_f000030,scene01_camA.mp4,scene01,30,1.0,train,960,540,day,unknown,unknown,663.12,sharp,116.89,27.99,2.86,3,bus;person,data/frames/scene01_camA/scene01_camA_f000030.jpg,data/labels/scene01_camA/scene01_camA_f000030.txt
scene01_camA_f000045,scene01_camA.mp4,scene01,45,1.5,train,960,540,day,unknown,unknown,702.87,sharp,117.48,29.4,4.52,3,bus;person,data/frames/scene01_camA/scene01_camA_f000045.jpg,data/labels/scene01_camA/scene01_camA_f000045.txt
scene01_camA_f000060,scene01_camA.mp4,scene01,60,2.0,train,960,540,day,unknown,unknown,772.15,sharp,118.13,30.62,5.45,3,bus;person,data/frames/scene01_camA/scene01_camA_f000060.jpg,data/labels/scene01_camA/scene01_camA_f000060.txt
scene01_camA_f000075,scene01_camA.mp4,scene01,75,2.5,train,960,540,day,unknown,unknown,805.12,sharp,118.32,31.67,6.46,3,bus;person,data/frames/scene01_camA/scene01_camA_f000075.jpg,data/labels/scene01_camA/scene01_camA_f000075.txt
scene01_camA_f000090,scene01_camA.mp4,scene01,90,3.0,train,960,540,day,unknown,unknown,871.61,sharp,118.82,32.82,7.4,4,bus;person,data/frames/scene01_camA/scene01_camA_f000090.jpg,data/labels/scene01_camA/scene01_camA_f000090.txt
scene01_camA_f000105,scene01_camA.mp4,scene01,105,3.5,train,960,540,day,unknown,unknown,905.47,sharp,118.83,33.96,8.47,4,bus;person,data/frames/scene01_camA/scene01_camA_f000105.jpg,data/labels/scene01_camA/scene01_camA_f000105.txt
scene01_camA_f000120,scene01_camA.mp4,scene01,120,4.0,train,960,540,day,unknown,unknown,928.06,sharp,118.89,34.19,9.61,4,bus;person,data/frames/scene01_camA/scene01_camA_f000120.jpg,data/labels/scene01_camA/scene01_camA_f000120.txt
scene01_camA_f000135,scene01_camA.mp4,scene01,135,4.5,train,960,540,day,unknown,unknown,922.91,sharp,118.78,34.37,9.74,4,bus;person,data/frames/scene01_camA/scene01_camA_f000135.jpg,data/labels/scene01_camA/scene01_camA_f000135.txt
